frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
441,44.51,39.22,26.05,1,0.8312,0.37,46640.0
442,44.609,39.25,25.98,1,0.797,0.372,45835.0
443,44.71,39.67,25.95,1,0.7901,0.372,44617.0
444,44.81,39.36,25.93,1,0.8144,0.364,48249.0
445,44.91,38.96,25.92,1,0.7958,0.354,50103.0
446,45.01,38.98,25.82,1,0.8987,0.346,38373.0
447,45.11,39.53,25.78,1,0.8095,0.341,10799.0
448,45.209,37.58,25.72,0,0.0,0.0,0.0
449,45.311,38.87,25.71,0,0.0,0.0,0.0
450,45.41,38.4,25.66,0,0.0,0.0,0.0
451,45.512,39.79,25.58,0,0.0,0.0,0.0
452,45.611,38.88,25.56,0,0.0,0.0,0.0
453,45.711,39.42,25.56,0,0.0,0.0,0.0
454,45.811,39.58,25.54,0,0.0,0.0,0.0
455,45.911,39.28,25.56,0,0.0,0.0,0.0
456,46.011,38.61,25.58,0,0.0,0.0,0.0
457,46.111,39.16,25.59,0,0.0,0.0,0.0
458,46.21,38.16,25.6,0,0.0,0.0,0.0
459,46.312,39.11,25.61,0,0.0,0.0,0.0
460,46.412,39.2,25.61,0,0.0,0.0,0.0
461,46.511,38.86,25.62,0,0.0,0.0,0.0
462,46.612,39.15,25.61,0,0.0,0.0,0.0
463,46.713,40.15,25.6,0,0.0,0.0,0.0
464,46.812,39.18,25.6,0,0.0,0.0,0.0
465,46.912,38.98,25.6,0,0.0,0.0,0.0
466,47.012,39.05,25.59,0,0.0,0.0,0.0
467,47.112,38.92,25.58,0,0.0,0.0,0.0
468,47.211,37.99,25.6,0,0.0,0.0,0.0
469,47.311,37.43,25.65,0,0.0,0.0,0.0
470,47.412,38.78,25.65,0,0.0,0.0,0.0
471,47.513,39.74,25.64,0,0.0,0.0,0.0
472,47.61,36.97,25.69,0,0.0,0.0,0.0
473,47.712,38.9,25.71,0,0.0,0.0,0.0
474,47.812,39.29,25.71,0,0.0,0.0,0.0
475,47.912,39.25,25.7,0,0.0,0.0,0.0
476,48.012,39.21,25.7,0,0.0,0.0,0.0
477,48.112,38.99,25.71,0,0.0,0.0,0.0
478,48.212,38.1,25.7,0,0.0,0.0,0.0
479,48.312,38.08,25.72,1,0.8743,0.392,19851.0
